Index,Correlation Coefficient,Genes
12407,0.26025551569389144,OR4A47
12469,0.2525855200175833,OR51T1
12468,0.25025237122392374,OR51S1
6323,0.2290136339228261,FEZF1
1847,0.2224486895981241,METTL21C
1215,0.21819022324574305,ATP4B
2385,0.18993561875890325,CYP4F30P
12851,0.18993275341634253,PATE1
19495,0.18631901385241628,ZFX
4309,0.18283181262765802,CSNK1A1L
11795,0.18229461727235088,NKAIN3
10235,0.18115973547376335,LRRC52
9125,0.17908017423880782,KLKP1
11841,0.17811319061135325,NLRP6
12521,0.17348616194762043,OR5E1P
10933,0.17274796015553348,MMP26
550,0.17242089887551373,ALDOB
302,0.1718312607457441,ADAMTS2
18516,0.16879846664501355,NCRNA00185
1362,0.16616668235218623,BAG3
15601,0.16550603363001173,SEMG1
6827,0.16543532446415926,GAST
19177,0.16442766061297864,WFDC8
4945,0.1641808243478871,DKK3
264,0.16413645639547364,ADAD2
4537,0.1634911424143797,CYP24A1
12428,0.16310023371922638,OR4F4
12448,0.16162400082285852,OR4X2
1081,0.15977135233475517,ASB11
14794,0.1583635530097687,RGS8
7443,0.15811962092082152,GSTA3
13434,0.15665790370287258,PLCB4
12650,0.15583111861402021,OSGEPL1
12450,0.15348392968044391,OR51A4
3453,0.15343549258564138,CDHR5
18521,0.1532922235848181,TTTY4C
14117,0.15312959112292326,PSKH2
17524,0.15309161026470083,TFAP2C
9923,0.15206712484701795,LRRC52-AS1
3713,0.1516765912795356,CHPT1
4919,0.15129557733890173,DIRC1
17304,0.15099910441702585,TAS2R41
11821,0.14986300465943503,NLGN1
15182,0.14923908748502368,RPSAP52
9461,0.14922365647172997,LGSN
2899,0.14753746301665277,CALM3
16458,0.14727023415556167,SNORA16A
15341,0.14664462248469187,SAMD11
4874,0.14663787352018912,DHRS2
10012,0.1465280920384057,C3orf84
15856,0.14617496034162944,SHMT2
17553,0.14475350356219308,TGFB2
1971,0.14409981456276302,DNAAF8
11907,0.1432881775163725,NOTCH1
16033,0.14303296216593825,SLC22A7
5695,0.14288977993333146,ESRRG
8833,0.1426743294325051,KDM6A
10466,0.14255324108353268,MAP1LC3C
12785,0.14141163535885382,PAMR1
10598,0.14137102085493103,MBTPS2
10322,0.14135745279986442,LY6G6C
19250,0.1411023480575579,XDH
11303,0.14090078603095996,MYCNOS
19322,0.14089532786033848,YTHDC2
18013,0.14086867093488412,TMTC4
9519,0.14057595901769077,LINGO1
706,0.14025681688089384,BRCTD1
12158,0.1394300842418188,NXPH2
3133,0.13921412016556306,CCDC3
10953,0.1390865610340986,MOB1B
16231,0.13898167691148558,SLC4A4
10409,0.13868059271127098,MAGEC1
5585,0.13822253082751437,EPB41L3
3827,0.1377407742811575,CLDN19
4999,0.13771754426186192,DMXL1
18263,0.13731213396469252,TRIM27
5239,0.1369754801879583,DUSP27
10904,0.13695503945534665,MLXIPL
3359,0.13655117072358186,CD69
9530,0.13650520162616683,LIPI
18925,0.13631298879587905,VANGL2
11312,0.13627187670385651,MYF6
3252,0.13606729608073884,CCNH
27,0.135757450731249,A1CF
16196,0.1357061836646316,SLC39A5
9764,0.1356030955828345,SEPHS1P1
4052,0.13544691776558643,COL5A3
12008,0.13541656163653068,NRF1
14394,0.13538082816828767,RAB39B
3143,0.13517405604779376,DFNA44
3698,0.13513045199507906,CHMP2B
18062,0.13499095039885833,TNF
12891,0.1349352027286804,DFNB23
15743,0.13476823520786235,SRSF4
14215,0.13418039146428754,PTHLH
6188,0.13408069224008093,FBLIM1
274,0.1338547624484383,ADAM21P1
10640,0.13383122560425684,MCTP2
18520,0.1336673528778272,TTTY2
12237,0.13357549988684572,ONECUT3
8767,0.13350533038558152,KCNMB1
9114,0.13329087317556565,KLK15
13863,0.13303458698102189,PRAMEF13
13983,0.13296058629009314,PRMT8
1349,0.1328592611389419,B4GALT6
18253,0.13284615411619902,TRIM15
6368,0.1327564459573646,FGGY
14308,0.13274945405922386,PWWP2A
10805,0.13272666428258195,GLIDR
6997,0.13261471650963985,GJB4
9882,0.13253489158395287,LINC00442
4322,0.13223405136993407,CSPG4
20078,0.13218630480275936,ZP3
6446,0.13205897138447845,SATB2-AS1
13762,0.13152807992462587,PPIP5K2
4423,0.13150187737033148,CUBN
19586,0.13149072927329944,ZNF184
18366,0.13148163556348746,TRPV3
3327,0.13141798151580056,CD300E
10209,0.13134267311238992,LRRC32
7145,0.1312899842064477,GOLGA2P3Y
8007,0.13111686707630674,HPYR1
17242,0.1307094391897376,TAF15
4752,0.13068291323132972,DDX3X
1862,0.13061674752975055,VCPKMT
612,0.13052356329606007,AMDHD2
12730,0.13045896335658852,PAAF1
6006,0.12991420979692905,FAM21C
2820,0.12974461560031542,C9
10920,0.1296758690666396,MMP13
80,0.12944831929514575,ABCC11
9680,0.1294432238385465,LARRPM
2707,0.12934811353783854,FAM167A-AS1
5946,0.12927422985250545,FAM174B
16055,0.12926592173423854,SLC25A1
4916,0.1292009201502121,DIRAS1
9270,0.1291952625311566,KRTAP5-6
472,0.1291585563471551,ST4
8352,0.12910450106761515,IL20
14066,0.12899891919368012,PRSS23
18472,0.1286235897804064,TTC29
19405,0.1284505234302621,FLJ13288
4044,0.12830198581505625,COL4A2
17015,0.1282903613911092,STK32A
14089,0.12815980409120523,PRUNE1
570,0.12801724233016318,ALKBH4
1487,0.1278256990746228,BET1
8120,0.12772453557534816,HTR3A
6224,0.12763763059218108,FLJ11798
5583,0.12751110982134714,KIAA0338
2606,0.1274575921895407,LINC00472
3309,0.12740294057662957,CD200
11015,0.12718397474329704,MPRIP
17617,0.12714347542462356,THTPA
15582,0.12712978335884662,SEMA3B
19101,0.12705799319959418,WDR24
15595,0.12688251371218304,SEMA5B
16307,0.1267595877317736,SLCO4A1
12760,0.1267003184359178,PAG1
10966,0.12658272589236608,MOGAT3
18910,0.12641875831211521,UTS2R
16183,0.1263148238500952,SLC38A6
10765,0.12601304086777212,SPAG10
16891,0.12594441932383368,SSBP3
11400,0.12591595487798604,N6AMT1
4142,0.1257899846822893,CPA1
16634,0.12578472059314447,SORD
10698,0.12566922303831576,MEF2D
15662,0.1256562023158977,SERPINB1
5402,0.1255927975515193,EHD3
16093,0.12553770259943164,SLC26A4
6193,0.1253962583492504,FBLN7
169,0.1253920132893077,ACE2
13999,0.12515526305798216,PROL1
16606,0.12515345146810536,SNX5
7922,0.12507105059508733,AUF1
4171,0.1250084221555762,CPNE8
11002,0.12476552496119427,MPL
12270,0.1246723932088773,OR10G9
10130,0.124601546813135,LPCAT1
5887,0.12458743516696315,FAM135B
19317,0.12430995022860777,YPEL4
470,0.12416426730743105,AIG1
6980,0.12415426542797309,GIPC2
18158,0.12413372547531683,TPI1P2
12556,0.12403198198166497,OR6C6
12146,0.12395430600762267,NVL
179,0.12388725061802276,IREB1
14907,0.12380399589531622,RNF103
518,0.12377341523809131,AKR7A3
15990,0.12368216241787601,SLC17A2
19079,0.1236412118502548,WBP4
17002,0.12362286280041677,STIM1
17076,0.12335605362950382,STXBP5L
7474,0.12329887685195039,GTF2H2C
14178,0.12328642199884557,PTAR1
9655,0.12321599547593444,LINC01119
18879,0.12314645607108396,USP45
73,0.12310525783955009,ABCB4
5824,0.12304787566931882,FAM106A
4549,0.12303690605465689,CYP2C18
17265,0.12302610797130796,TAGLN
5169,0.12300888581438456,DRD2
7926,0.12291241546531495,HNRNPH3
13083,0.12288564190189386,PDSS1
18409,0.12273725955475591,TSPAN13
3371,0.12270036000377467,CD84
587,0.12262111696378708,ALPI
2459,0.12259827870960888,LINC01565
8175,0.12252127646699919,IDH1
11994,0.12251149340667807,NR4A2
17759,0.12245884340513111,TMEM106A
7902,0.12242592929306931,HMSD
19381,0.12232095353348142,DKFZp547O146
447,0.12226681518493686,AGXT2
3609,0.12224452537829206,CES2
18020,0.12222451517365929,TNC
13596,0.12220994096820816,PODN
10343,0.12219796437563701,LYPD6B
19262,0.12218312214308925,XKR9
598,0.12214174864534695,CARF
224,0.12191287728022514,ACTA1
6197,0.12186372563673403,FBN3
10089,0.12181910000341742,LINC00839
2265,0.12176003302968329,FAM209A
7442,0.12174972377313795,GSTA2
5361,0.12174472984164206,EFCAB7
12786,0.12170569942020441,PAM
14423,0.12164430694028742,RAB9A
12149,0.1216223699560209,NXF2B
14889,0.12150034563584759,RNASE2
13112,0.1214558087743582,PEG3-AS1
18598,0.12144067180347719,TXNRD2
11580,0.121436799466683,NCRNA00185
18249,0.12135362348179013,TRIM10
7138,0.1212226613509767,GNRH1
1815,0.12110588875480738,C12orf60
14713,0.12096282171020112,RETN
18641,0.1208485477830298,UBE2D2
16474,0.12084171247138285,SNORA31
17500,0.12078293876365415,TESC
681,0.12073097809474859,ANKRD11
14658,0.12068020036262277,RCOR2
4329,0.12062121960013432,CSRP2BP
1104,0.12055260546355011,ASCL4
4611,0.12050712022813032,DACT3
15508,0.12047050262286903,SDCBP
8374,0.12045157229209294,IL31
8389,0.12045117758829726,IL7
13061,0.12012881911186887,PDIA5
11024,0.12003746810704755,MR1
5025,0.11991490621936095,DNAJB1
18972,0.11986298224898698,VIL1
14729,0.11983960644196434,RFK
16411,0.11969538362916017,SNAI1
10366,0.11969173586128377,LZTS1
159,0.11962523884800126,ACBD6
15958,0.11958876959052005,SLC12A4
7650,0.11958855498430429,DKFZP586J0917
6557,0.11924402337743016,IRID1
2436,0.1192030739215498,C2orf83
12992,0.11912938064480044,PCSK6
16625,0.11912827194333382,SOHLH2
19156,0.11891426262685459,WDR89
20064,0.11886698973572107,ZNF98
