Index,Correlation Coefficient,Genes
3819,0.2830159851881742,CLDN22
4664,0.2745896916164903,DCD
274,0.24677002153618677,ADAM3A
15182,0.22896022987126485,RQCD1
475,0.22802913317947257,AKAP10
16355,0.2182042431796556,SMC3
14349,0.21149337234842885,RAB11FIP2
7728,0.20938259198086717,HIAT1
9258,0.2087048353911124,KRTAP5-5
15076,0.20388404364804905,RPL28
16032,0.20226416617784854,SLC24A4
12320,0.20084572535326992,OR1L6
11671,0.1995992631536044,NEK7
2279,0.19937749494094362,C20orf191
12526,0.19914014000821678,OR5M1
14562,0.19841006151896262,RBBP4
1211,0.1968416769622859,ATP5F1
20036,0.19632783063175246,ZNF841
8017,0.19529183202118575,HS3ST2
8837,0.19454539966154016,KHNYN
1137,0.19428703073159428,ATF1
15229,0.19108412528611615,RSRC1
17240,0.1901231902330899,TAF2
15019,0.18988393699449918,RP2
188,0.18985992227000492,ACPL2
8676,0.18982885746870068,KBTBD4
2276,0.189438667996317,C20orf177
2582,0.1892789463151646,C6orf127
16657,0.1890467136153988,SP3
16318,0.1881546733794511,SLK
18613,0.187960370170474,UBA52
11684,0.18762218859832078,NEU2
12850,0.18758450584279415,PAX3
13462,0.18707606793653747,PLEKHG2
5745,0.18677696201101154,EXPH5
13919,0.1863525548608441,PRIM1
5431,0.18580933329563815,EIF3G
11037,0.18567768308587376,MRPL13
15088,0.18566513856984002,RPL36
4903,0.18489825572576207,DIP2B
11466,0.18449424168793732,NBEA
15380,0.18266908876194002,SBNO1
10459,0.1824679572217536,MAP2K2
10443,0.1822346706019579,MANEA
9328,0.18149548300653928,LAS1L
13610,0.18039209294096656,POLK
2203,0.17916646800788638,C1orf55
14858,0.17887833255342458,RIPPLY2
20046,0.17879464749864227,ZNF8
4940,0.1786552293501703,DLEC1
7159,0.17799110573556873,GOLIM4
7076,0.17797555313970756,GMPR
3626,0.17749591697185646,CGA
13795,0.17739893990378908,PPP1R3D
16536,0.1769737950583779,SNORD1C
19016,0.1769530372804337,VPS54
10916,0.17681463912927023,MMP20
1138,0.1761647704508944,ATF2
17166,0.17491157780451486,SYNJ1
654,0.17474767745154313,ANK3
10227,0.17474464707701493,LRRC57
16365,0.17471520388520528,SMEK1
13750,0.17392885565690464,PPIP5K1
350,0.17392512768405397,ADNP
5504,0.17279494481792992,EMD
9415,0.1727844203756071,LENG9
17821,0.17275586878640706,TMEM170B
14982,0.17261993153428173,RNFT1
2106,0.17211207198300005,C19orf70
18473,0.17196229001510513,TTC37
9295,0.17173534646461028,LALBA
18857,0.17173268202639094,USP32
3985,0.1715373128026472,CNTN4
15082,0.17146670941773026,RPL32
3473,0.1713010515126643,CDKL1
18690,0.17112120889666832,UBR3
14937,0.17112050886477295,RNF169
19802,0.17103934937561388,ZNF524
3393,0.17076432178745218,CDC42BPG
4004,0.17048107492424497,COG6
14895,0.1704491057448962,RND2
13881,0.16980804168899996,PRDM15
17263,0.16977977582313633,TANK
15108,0.1697703913171557,RPLP1
15052,0.16869222614424037,RPL14
7553,0.16846131764159403,HACE1
4840,0.1683272207886385,DGKD
5320,0.1682438407157615,EDEM3
18145,0.16799485843119638,TPD52L1
11651,0.1672596146609773,NEDD1
15172,0.1671048652713032,RPSA
11518,0.16678869181422032,NCOA5
10343,0.16666418787181891,LYSMD1
